,Image_name,Card-set,Card_number,Rarity,Card_name,Card type,Attribute,Types,Level,Attack,Defense
18,LIOV-EN017 UR.png,Lightning Overdrive,LIOV-EN017,Ultra Rare,Live☆Twin Ki-sikil Frost,Monster,LIGHT,Aqua / Effect,2,500,0
19,DAMA-EN002 ScR.png,Dawn of Majesty,DAMA-EN002,Secret Rare,Stardust Synchron,Monster,LIGHT,Machine / Tuner / Effect,4,1500,1000
20,MACR-EN016 C.png,Maximum Crisis ,MACR-EN016,Common,Double Resonator,Monster,FIRE,Fiend / Tuner / Effect,1,0,0
21,ABPF-EN095 ScR.png,Absolute Powerforce,ABPF-EN095,Secret Rare,Shield Wing,Monster,WIND,Winged Beast / Effect,2,0,900
22,SOD-EN031 C.png,Soul of the Duelist,SOD-EN031,Common,Enraged Muka Muka,Monster,EARTH,Rock / Effect,5,1200,600
23,MRD-044 C.png,Metal Raiders,MRD-044,Common,Mega Thunderball,Monster,WIND,Thunder,2,750,600
24,BACH-EN092 C.png,Battle of Chaos,BACH-EN092,Common,Fire Opal Head,Monster,FIRE,Dinosaur / Pendulum / Normal,6,2500,1000
25,RGBT-EN044 SR.png,Raging Battle,RGBT-EN044,Super Rare,Sea Dragon Lord Gishilnodon,Monster,WATER,Sea Serpent / Synchro / Effect,5,2300,1800
26,TDGS-EN008 R.png,The Duelist Genesis,TDGS-EN008,Rare,Big Piece Golem,Monster,EARTH,Rock / Effect,5,2100,0
27,REDU-EN007 C.png,Return of the Duelist,REDU-EN007,Common,Heroic Challenger - Swordshield,Monster,EARTH,Warrior / Effect,4,0,2000
28,LODT-EN034 C.png,Light of Destruction,LODT-EN034,Common,"Interplanetary Invader ""A""",Monster,LIGHT,Reptile / Effect,1,0,500
29,GLAS-EN030 R.png,Gladiator's Assault,GLAS-EN030,Rare,Goblin Black Ops,Monster,DARK,Beast-Warrior / Effect,4,1300,0
30,LOB-105 C.png,Legend of Blue Eyes White Dragon,LOB-105,Common,Skull Red Bird,Monster,WIND,Winged Beast,4,1550,1200
31,MACR-EN018 SR.png,Maximum Crisis ,MACR-EN018,Super Rare,Supreme King Gate Infinity,Monster,DARK,Fiend / Pendulum / Effect,7,0,0
32,CSOC-EN002 R.png,Crossroads of Chaos,CSOC-EN002,Rare,Turbo Synchron,Monster,WIND,Machine / Tuner / Effect,1,100,500
33,GFP2-EN016 UR.png,Ghosts From the Past: The 2nd Haunting,GFP2-EN016,Ultra Rare,Shell Knight,Monster,EARTH,Rock / Effect,4,0,2000
34,LOB-016 C.png,Legend of Blue Eyes White Dragon,LOB-016,Common,Flame Manipulator,Monster,FIRE,Spellcaster / Normal,3,900,1000
35,STOR-EN015 SR.png,Storm of Ragnarok,STOR-EN015,Super Rare,Svartalf of the Nordic Alfar,Monster,DARK,Spellcaster / Tuner / Effect,5,1400,1600
36,LON-070 C.png,Labyrinth of Nightmare,LON-070,Common,Garuda the Wind Spirit,Monster,WIND,Winged Beast / Effect,4,1600,1200
37,LOB-032 C.png,Legend of Blue Eyes White Dragon,LOB-032,Common,Root Water,Monster,WATER,Fish,3,900,800
38,PTDN-EN025 C.png,Phantom Darkness,PTDN-EN025,Common,Gemini Lancer,Monster,WATER,Sea Serpent / Gemini,4,1800,1400
39,RATE-EN027 SR.png,Raging Tempest,RATE-EN027,Super Rare,"Tierra, Source of Destruction",Monster,LIGHT,Fiend / Effect,11,3400,3600
40,RGBT-EN032 C.png,Raging Battle,RGBT-EN032,Common,Gigastone Omega,Monster,EARTH,Rock / Effect,5,1000,2300
41,SHVI-EN022 UR.png,Shining Victories,SHVI-EN022,Ultra Rare,The White Stone of Ancients,Monster,LIGHT,Dragon / Tuner / Effect,1,600,500
42,GFP2-EN095 UR.png,Ghosts From the Past: The 2nd Haunting,GFP2-EN095,Ultra Rare,Despian Comedy,Monster,DARK,Fairy / Effect,1,0,2000
43,SAST-EN006 R.png,Savage Strike,SAST-EN006,Rare,Speedburst Dragon,Monster,DARK,Dragon / Effect,6,2400,600
44,SHVI-EN041 C.png,Shining Victories,SHVI-EN041,Common,Gendo the Ascetic Monk,Monster,WATER,Spellcaster / Effect,4,300,1800
45,ANPR-EN040 UR.png,Ancient Prophecy,ANPR-EN040,Ultra Rare,Ancient Fairy Dragon,Monster,LIGHT,Dragon / Synchro / Effect,7,2100,3000
46,GFP2-EN113 UR.png,Ghosts From the Past: The 2nd Haunting,GFP2-EN113,Ultra Rare,Doomking Balerdroch,Monster,DARK,Zombie / Effect,8,2800,2000
47,MRD-030 C.png,Metal Raiders,MRD-030,Common,Ocubeam,Monster,LIGHT,Fairy,5,1550,1650
48,TDGS-EN033 UR.png,The Duelist Genesis,TDGS-EN033,Ultra Rare,Dark Hunter,Monster,DARK,Fiend / Effect,4,1600,400
49,ROTD-EN006 C.png,Rise of the Duelist,ROTD-EN006,Common,"Dogmatika Theo, the Iron Punch",Monster,LIGHT,Spellcaster / Effect,4,1800,1500
50,CROS-EN003 C.png,Crossed Souls,CROS-EN003,Common,Performapal Bowhopper,Monster,EARTH,Insect / Effect,4,1500,1000
51,TSHD-EN000 SR.png,The Shining Darkness,TSHD-EN000,Super Rare,XX-Saber Boggart Knight,Monster,EARTH,Beast-Warrior / Effect,4,1900,1000
52,SHSP-EN090 UR.png,Shadow Specters,SHSP-EN090,Ultra Rare,"Celestial Wolf Lord, Blue Sirius",Monster,DARK,Beast-Warrior / Synchro / Effect,6,2400,1500
53,SOFU-EN006 C.png,Soul Fusion,SOFU-EN006,Common,Dinowrestler Capoeiraptor,Monster,EARTH,Dinosaur / Effect,4,1800,0
54,CBLZ-EN084 ScR.png,Cosmo Blazer,CBLZ-EN084,Secret Rare,Bonfire Colossus,Monster,FIRE,Beast-Warrior / Effect,8,2600,2200
55,GAOV-EN032 R.png,Galactic Overlord,GAOV-EN032,Rare,Lightray Sorcerer,Monster,LIGHT,Spellcaster / Effect,6,2300,2000
56,AST-023 SR.png,Ancient Sanctuary,AST-023,Super Rare,Zaborg the Thunder Monarch,Monster,LIGHT,Thunder / Effect,5,2400,1000
57,PRIO-EN094 C.png,Primal Origin,PRIO-EN094,Common,Shogi Knight,Monster,EARTH,Beast-Warrior / Effect,3,800,400
58,STBL-EN021 C.png,Starstrike Blast,STBL-EN021,Common,"Karakuri Strategist mdl 248 ""Nishipachi""",Monster,EARTH,Machine / Tuner,3,500,1600
59,FET-EN033 C.png,Flaming Eternity,FET-EN033,Common,Rescue Cat,Monster,EARTH,Beast / Effect,4,300,100
60,SOFU-EN017 C.png,Soul Fusion,SOFU-EN017,Common,"World Legacy - ""World Wand""",Monster,DARK,Machine / Effect,8,500,2500
61,BACH-EN018 C.png,Battle of Chaos,BACH-EN018,Common,"Neiroy, the Dream Mirror Traitor",Monster,DARK,Fiend / Effect,3,1000,1000
62,CORE-EN048 UR.png,Clash of Rebellions,CORE-EN048,Ultra Rare,Archfiend Black Skull Dragon,Monster,DARK,Dragon / Fusion / Effect,9,3200,2500
63,IOC-074 C.png,Invasion of Chaos,IOC-074,Common,Hyper Hammerhead,Monster,EARTH,Dinosaur / Effect,4,1500,1200
64,STBL-EN094 C.png,Starstrike Blast,STBL-EN094,Common,Ally of Justice Unknown Crusher,Monster,DARK,Machine / Effect,3,1200,800
65,CSOC-EN029 UR.png,Crossroads of Chaos,CSOC-EN029,Ultra Rare,"Tytannial, Princess of Camellias",Monster,WIND,Plant / Effect,8,2800,2600
66,MRL-019 C.png,Spell Ruler,MRL-019,Common,Dark Witch,Monster,LIGHT,Fairy,5,1800,1700
67,JOTL-EN006 C.png,Judgment of the Light,JOTL-EN006,Common,Super Defense Robot Lio,Monster,EARTH,Machine / Effect,4,1200,1600
68,IOC-087 UR.png,Invasion of Chaos,IOC-087,Ultra Rare,Guardian Angel Joan,Monster,LIGHT,Fairy / Effect,7,2800,2000
69,STON-EN017 UR.png,Strike of Neos,STON-EN017,Ultra Rare,"Reign-Beaux, Overlord of Dark World",Monster,DARK,Fiend / Effect,7,2500,1800
70,INOV-EN013 C.png,Invasion: Vengeance,INOV-EN013,Common,Flower Cardian Maple with Deer,Monster,DARK,Warrior / Effect,10,1000,1000
71,LIOV-EN095 C.png,Lightning Overdrive,LIOV-EN095,Common,D/D/D Supersight King Zero Maxwell,Monster,DARK,Fiend / Pendulum / Effect,7,2800,2500
72,DUEA-EN096 C.png,Duelist Alliance,DUEA-EN096,Common,Fishborg Doctor,Monster,WATER,Fish / Effect,4,400,400
73,SECE-EN038 R.png,Secrets of Eternity,SECE-EN038,Rare,Dragon Dowser,Monster,EARTH,Wyrm / Effect,4,1500,1500
74,MRD-038 C.png,Metal Raiders,MRD-038,Common,Deepsea Shark,Monster,WATER,Fish / Fusion,5,1900,1600
75,PGD-072 R.png,Pharaonic Guardian,PGD-072,Rare,Winged Sage Falcos,Monster,WIND,Winged Beast / Effect,4,1700,1200
76,ABYR-EN018 R.png,Abyss Rising,ABYR-EN018,Rare,Mermail Abysspike,Monster,WATER,Fish / Effect,4,1600,800
77,RGBT-EN099 R.png,Raging Battle,RGBT-EN099,Rare,Emperor Sem,Monster,LIGHT,Fiend / Effect,4,1300,2200
78,MAGO-EN020 PGR.png,Maximum Gold,MAGO-EN020,Premium Gold Rare,Nurse Dragonmaid,Monster,EARTH,Dragon / Effect,2,500,1600
79,EEN-EN025 C.png,Elemental Energy,EEN-EN025,Common,"Scarr, Scout of Dark World",Monster,DARK,Fiend / Effect,2,500,500
80,SOVR-EN092 ScR.png,Stardust Overdrive,SOVR-EN092,Secret Rare,Dark Simorgh,Monster,DARK,Winged Beast / Effect,7,2700,1000
81,RGBT-EN022 SR.png,Raging Battle,RGBT-EN022,Super Rare,Koa'ki Meiru Powerhand,Monster,EARTH,Machine / Effect,4,2100,1600
82,TAEV-EN084 ScR.png,Tactical Evolution,TAEV-EN084,Secret Rare,Abyssal Kingshark,Monster,WATER,Fish / Effect,4,1700,600
83,CORE-EN007 C.png,Clash of Rebellions,CORE-EN007,Common,Superheavy Samurai Blowtorch,Monster,EARTH,Machine / Effect,1,500,300
84,TSHD-EN016 R.png,The Shining Darkness,TSHD-EN016,Rare,Revival Rose,Monster,DARK,Plant / Effect,4,1300,1300
85,BLVO-EN009 C.png,Blazing Vortex,BLVO-EN009,Common,Springans Captain Sargas,Monster,FIRE,Machine / Effect,8,1500,2800
86,PRIO-EN024 UR.png,Primal Origin,PRIO-EN024,Ultra Rare,Bujin Hirume,Monster,LIGHT,Beast-Warrior / Effect,4,2000,1000
87,PGD-069 UR.png,Pharaonic Guardian,PGD-069,Ultra Rare,Mystical Knight of Jackal,Monster,LIGHT,Beast-Warrior / Effect,7,2700,1200
88,MACR-EN025 SR.png,Maximum Crisis ,MACR-EN025,Super Rare,"Metaltron XII, the True Dracombatant",Monster,LIGHT,Wyrm / Effect,9,3000,3000
89,BLVO-EN081 SR.png,Blazing Vortex,BLVO-EN081,Super Rare,Materiactor Gigadra,Monster,DARK,Dragon / Effect,3,1000,1000
90,BLVO-EN013 SR.png,Blazing Vortex,BLVO-EN013,Super Rare,S-Force Orrafist,Monster,LIGHT,Cyberse / Effect,4,1800,1000
91,EXVC-EN003 R.png,Extreme Victory,EXVC-EN003,Rare,Salvage Warrior,Monster,WATER,Warrior / Effect,5,1900,1600
92,MRD-036 R.png,Metal Raiders,MRD-036,Rare,Magician of Faith,Monster,LIGHT,Spellcaster / Flip / Effect,1,300,400
93,SOI-EN010 R.png,Shadow of Infinity,SOI-EN010,Rare,Proto-Cyber Dragon,Monster,LIGHT,Machine / Effect,3,1100,600
94,MRD-086 R.png,Metal Raiders,MRD-086,Rare,Princess of Tsurugi,Monster,WIND,Warrior / Effect,3,900,700
95,CRMS-EN018 C.png,Crimson Crisis,CRMS-EN018,Common,Morphtronic Slingen,Monster,WIND,Machine / Effect,4,1200,800
96,JOTL-EN024 C.png,Judgment of the Light,JOTL-EN024,Common,Mecha Phantom Beast Coltwing,Monster,WIND,Machine / Effect,4,1600,1500
97,LOB-027 R.png,Legend of Blue Eyes White Dragon,LOB-027,Rare,Aqua Madoor,Monster,WATER,Spellcaster / Normal,4,1200,2000
98,CIBR-EN019 C.png,Circuit Break,CIBR-EN019,Common,Krawler Receptor,Monster,EARTH,Insect / Flip / Effect,2,900,1200
99,PGD-071 C.png,Pharaonic Guardian,PGD-071,Common,Yomi Ship,Monster,WATER,Aqua / Effect,3,800,1400
100,GAOV-EN014 C.png,Galactic Overlord,GAOV-EN014,Common,Moonlit Papillon,Monster,LIGHT,Insect / Effect,4,1200,1600
101,JOTL-EN091 C.png,Judgment of the Light,JOTL-EN091,Common,Junk Blader,Monster,EARTH,Warrior / Effect,4,1800,1000
102,NECH-EN014 SR.png,The New Challengers,NECH-EN014,Super Rare,Edge Imp Sabres,Monster,DARK,Fiend / Effect,3,1200,800
103,BLVO-EN042 SR.png,Blazing Vortex,BLVO-EN042,Super Rare,"Oneiros, the Dream Mirror Tormentor",Monster,DARK,Fiend / Fusion / Effect,10,3000,3000
104,ANPR-EN094 UR.png,Ancient Prophecy,ANPR-EN094,Ultra Rare,Gaia Plate the Earth Giant,Monster,EARTH,Rock / Effect,8,2800,1000
105,GFP2-EN024 UR.png,Ghosts From the Past: The 2nd Haunting,GFP2-EN024,Ultra Rare,Code Exporter,Monster,WIND,Cyberse / Effect,5,500,2300
106,NECH-EN032 UR.png,The New Challengers,NECH-EN032,Ultra Rare,"Jiaotu, Darkness of the Yang Zing",Monster,DARK,Wyrm / Tuner / Effect,2,0,2000
107,GLAS-EN024 C.png,Gladiator's Assault,GLAS-EN024,Common,Gladiator Beast Secutor,Monster,WIND,Reptile / Effect,4,400,300
108,RATE-EN047 R.png,Raging Tempest,RATE-EN047,Rare,Shiranui Sunsaga,Monster,FIRE,Zombie / Synchro / Effect,10,3500,0
109,LOB-020 C.png,Legend of Blue Eyes White Dragon,LOB-020,Common,Dark King of the Abyss,Monster,DARK,Fiend,3,1200,800
110,CBLZ-EN033 C.png,Cosmo Blazer,CBLZ-EN033,Common,Mermail Abyssnose,Monster,WATER,Fish / Effect,4,1500,1500
111,LVAL-EN008 C.png,Legacy of the Valiant,LVAL-EN008,Common,Chronomaly Moai Carrier,Monster,EARTH,Rock / Effect,5,900,1800
112,GFP2-EN130 UR.png,Ghosts From the Past: The 2nd Haunting,GFP2-EN130,Ultra Rare,"Baxia, Brightness of the Yang Zing",Monster,LIGHT,Wyrm / Synchro / Effect,8,2300,2600
113,LON-034 SR.png,Labyrinth of Nightmare,LON-034,Super Rare,Fire Princess,Monster,FIRE,Pyro / Effect,4,1300,1500
114,LOB-069 C.png,Legend of Blue Eyes White Dragon,LOB-069,Common,Uraby,Monster,EARTH,Dinosaur / Normal,4,1500,800
115,CORE-EN031 C.png,Clash of Rebellions,CORE-EN031,Common,Igknight Gallant,Monster,FIRE,Warrior / Pendulum,6,2100,2200
116,BOSH-EN020 C.png,Breakers of Shadow,BOSH-EN020,Common,Dragon Buster Destruction Sword,Monster,DARK,Dragon / Tuner / Effect,1,400,300
117,ETCO-EN023 SR.png,Eternity Code,ETCO-EN023,Super Rare,Ancient Warriors - Ingenious Zhuge Kong,Monster,WIND,Beast-Warrior / Effect,4,1000,2000
118,BOSH-EN015 C.png,Breakers of Shadow,BOSH-EN015,Common,Twilight Ninja Shingetsu,Monster,DARK,Warrior / Effect,4,1500,100
119,ETCO-EN007 C.png,Eternity Code,ETCO-EN007,Common,Noctovision Dragon,Monster,DARK,Dragon / Effect,7,0,2800
120,DUEA-EN025 C.png,Duelist Alliance,DUEA-EN025,Common,Shaddoll Squamata,Monster,DARK,Spellcaster / Flip / Effect,4,1800,1000
121,RIRA-EN008 R.png,Rising Rampage,RIRA-EN008,Rare,Fortune Lady Past,Monster,DARK,Spellcaster / Tuner / Effect,1,0,0
122,PHRA-EN015 SR.png,Phantom Rage,PHRA-EN015,Super Rare,Dual Avatar Feet - Kokoku,Monster,LIGHT,Warrior / Effect,3,800,2000
123,ANPR-EN086 UR.png,Ancient Prophecy,ANPR-EN086,Ultra Rare,Flamvell Commando,Monster,FIRE,Pyro / Effect,6,2200,200
124,FLOD-EN000 C.png,Flames of Destruction,FLOD-EN000,Common,Kai-Den Kendo Spirit,Monster,WIND,Warrior / Pendulum / Spirit / Effect,5,2400,1000
125,DAMA-EN035 SR.png,Dawn of Majesty,DAMA-EN035,Super Rare,Despian Proskenion,Monster,LIGHT,Fiend / Fusion / Effect,11,3200,3200
126,LED8-EN003 SR.png,Legendary Duelists: Synchro Storm,LED8-EN003,Super Rare,Speedroid Ultra Hound,Monster,WIND,Machine / Effect,3,800,800
127,SOD-EN014 R.png,Soul of the Duelist,SOD-EN014,Rare,Armed Dragon LV5,Monster,WIND,Dragon / Effect,5,2400,1700
128,LIOV-EN018 C.png,Lightning Overdrive,LIOV-EN018,Common,"Blackeyes, the Plunder Patroll Seaguide",Monster,WATER,Fiend / Effect,4,1000,1000
129,PGD-064 R.png,Pharaonic Guardian,PGD-064,Rare,Gravekeeper's Watcher,Monster,DARK,Spellcaster / Effect,4,1000,1000
130,TDGS-EN099 ScR.png,The Duelist Genesis,TDGS-EN099,Secret Rare,Toy Magician,Monster,LIGHT,Spellcaster / Effect,4,1600,1500
131,SOFU-EN036 ScR.png,Soul Fusion,SOFU-EN036,Secret Rare,Thunder Dragon Titan,Monster,LIGHT,Thunder / Fusion / Effect,10,3200,3200
132,EXVC-EN004 R.png,Extreme Victory,EXVC-EN004,Rare,Necro Defender,Monster,DARK,Fiend / Effect,2,0,800
133,FLOD-EN018 R.png,Flames of Destruction,FLOD-EN018,Rare,"World Legacy - ""World Lance""",Monster,DARK,Machine / Effect,8,3000,0
134,IGAS-EN039 C.png,Ignition Assault,IGAS-EN039,Common,Megalith Bethor,Monster,EARTH,Rock / Ritual / Effect,8,1500,2600
135,SECE-EN020 ScR.png,Secrets of Eternity,SECE-EN020,Secret Rare,Qliphort Monolith,Monster,EARTH,Machine / Pendulum,5,2400,1000
136,CSOC-EN085 SR.png,Crossroads of Chaos,CSOC-EN085,Super Rare,Rai-Mei,Monster,LIGHT,Thunder / Effect,3,1400,1200
137,CYHO-EN008 C.png,Cybernetic Horizon,CYHO-EN008,Common,Crusadia Leonis,Monster,EARTH,Beast / Effect,3,1200,1600
138,LOB-025 C.png,Legend of Blue Eyes White Dragon,LOB-025,Common,Petit Angel,Monster,LIGHT,Fairy,3,600,900
139,STOR-EN086 ScR.png,Storm of Ragnarok,STOR-EN086,Secret Rare,"Maxx ""C""",Monster,EARTH,Insect / Effect,2,500,200
140,LODT-EN097 UR.png,Light of Destruction,LODT-EN097,Ultra Rare,Maximum Six,Monster,EARTH,Warrior / Effect,6,1900,1600
141,MACR-EN009 R.png,Maximum Crisis ,MACR-EN009,Rare,Predaplant Ophrys Scorpio,Monster,DARK,Plant / Effect,3,1200,800
142,DIFO-EN038 UR.png,Dimension Force,DIFO-EN038,Ultra Rare,Dinomorphia Rexterm,Monster,DARK,Dinosaur / Fusion / Effect,8,3000,0
143,PHRA-EN086 C.png,Phantom Rage,PHRA-EN086,Common,Myutant GB-88,Monster,WATER,Psychic / Effect,4,500,500
144,SOFU-EN021 UR.png,Soul Fusion,SOFU-EN021,Ultra Rare,Thunder Dragonroar,Monster,DARK,Thunder / Effect,6,2400,0
145,STOR-EN082 R.png,Storm of Ragnarok,STOR-EN082,Rare,Shien's Daredevil,Monster,EARTH,Warrior / Effect,4,1600,1000
146,CYHO-EN092 C.png,Cybernetic Horizon,CYHO-EN092,Common,Divine Serpent Geh,Monster,DARK,Reptile / Effect,12,0,0
147,RIRA-EN005 C.png,Rising Rampage,RIRA-EN005,Common,DMZ Dragon,Monster,DARK,Dragon / Effect,4,0,2000
148,CSOC-EN016 C.png,Crossroads of Chaos,CSOC-EN016,Common,Pursuit Chaser,Monster,EARTH,Machine / Effect,3,1400,600
149,RATE-EN046 UR.png,Raging Tempest,RATE-EN046,Ultra Rare,Crystron Quariongandrax,Monster,WATER,Machine / Synchro / Effect,9,3000,3000
150,TLM-EN023 R.png,The Lost Millennium,TLM-EN023,Rare,D.D. Survivor,Monster,DARK,Warrior / Effect,4,1800,200
151,LON-035 C.png,Labyrinth of Nightmare,LON-035,Common,Lady Assailant of Flames,Monster,FIRE,Pyro / Flip / Effect,4,1500,1000
152,DAMA-EN006 ScR artwork2.png,Dawn of Majesty,DAMA-EN006,Secret Rare,Aluber the Jester of Despia,Monster,DARK,Fairy / Effect,4,1800,0
153,RATE-EN006 C.png,Raging Tempest,RATE-EN006,Common,Speedroid Horse Stilts,Monster,WIND,Machine / Effect,4,1100,1100
154,DOCS-EN084 SR.png,Dimension of Chaos,DOCS-EN084,Super Rare,Kozmo DOG Fighter,Monster,DARK,Machine / Effect,6,2000,2400
155,SOFU-EN082 ScR.png,Soul Fusion,SOFU-EN082,Secret Rare,Danger! Thunderbird!,Monster,DARK,Winged Beast / Effect,8,2800,2400
156,MAGO-EN007 PGR.png,Maximum Gold,MAGO-EN007,Premium Gold Rare,Tour Guide From the Underworld,Monster,DARK,Fiend / Effect,3,1000,600
157,FLOD-EN030 C.png,Flames of Destruction,FLOD-EN030,Common,Three Trolling Trolls,Monster,WATER,Beast-Warrior / Tuner / Effect,3,1000,1300
158,CBLZ-EN094 R.png,Cosmo Blazer,CBLZ-EN094,Rare,Infernity Archer,Monster,DARK,Fiend / Effect,6,2000,1000
159,TLM-EN013 R.png,The Lost Millennium,TLM-EN013,Rare,Criosphinx,Monster,EARTH,Rock / Effect,6,1200,2400
160,BLVO-EN038 C.png,Blazing Vortex,BLVO-EN038,Common,Sprind the Irondash Dragon,Monster,DARK,Machine / Fusion / Effect,8,2500,2000
161,DUEA-EN016 R.png,Duelist Alliance,DUEA-EN016,Rare,Mozarta the Melodious Maestra,Monster,LIGHT,Fairy / Effect,8,2600,2000
162,NECH-EN000 SR.png,The New Challengers,NECH-EN000,Super Rare,Lancephorhynchus,Monster,WIND,Dinosaur / Pendulum / Normal,6,2500,800
163,ABYR-EN028 C.png,Abyss Rising,ABYR-EN028,Common,Abyss Warrior,Monster,WATER,Aqua / Effect,4,1800,1300
164,GFP2-EN082 UR.png,Ghosts From the Past: The 2nd Haunting,GFP2-EN082,Ultra Rare,Code Generator,Monster,EARTH,Cyberse / Effect,3,1300,500
165,BOSH-EN010 C.png,Breakers of Shadow,BOSH-EN010,Common,Superheavy Samurai General Jade,Monster,EARTH,Machine / Pendulum / Effect,8,1800,2800
166,TAEV-EN013 ScR.png,Tactical Evolution,TAEV-EN013,Secret Rare,Vennominaga the Deity of Poisonous Snakes,Monster,DARK,Reptile / Effect,10,0,0
167,CORE-EN003 SR.png,Clash of Rebellions,CORE-EN003,Super Rare,Xiangke Magician,Monster,DARK,Spellcaster / Pendulum / Effect,7,2500,500
168,LVAL-EN094 C.png,Legacy of the Valiant,LVAL-EN094,Common,Snapdragon,Monster,EARTH,Plant / Effect,2,300,100
169,BODE-EN042 UR.png,Burst of Destiny,BODE-EN042,Ultra Rare,Swordsoul Supreme Sovereign - Chengying,Monster,WATER,Wyrm / Synchro / Effect,10,3000,3000
170,BOSH-EN084 C.png,Breakers of Shadow,BOSH-EN084,Common,Kozmo Delta Shuttle,Monster,DARK,Machine / Effect,5,2000,2000
171,BODE-EN044 SR.png,Burst of Destiny,BODE-EN044,Super Rare,Magikey Fiend - Transfurlmine,Monster,FIRE,Thunder / Synchro / Effect,8,2800,2800
172,STON-EN030 C.png,Strike of Neos,STON-EN030,Common,Umbral Soul,Monster,DARK,Reptile / Effect,7,2000,1500
173,EOJ-EN016 SR.png,Enemy of Justice,EOJ-EN016,Super Rare,Majestic Mech - Goryu,Monster,LIGHT,Fairy / Effect,8,2900,1800
174,TLM-EN006 UR.png,The Lost Millennium,TLM-EN006,Ultra Rare,Ancient Gear Golem,Monster,EARTH,Machine / Effect,8,3000,3000
175,DUEA-EN017 C.png,Duelist Alliance,DUEA-EN017,Common,Battleguard King,Monster,EARTH,Warrior / Effect,8,3000,1100
176,RDS-EN025 C.png,Rise of Destiny,RDS-EN025,Common,Creeping Doom Manta,Monster,WATER,Fish / Effect,3,1300,1200
177,LIOV-EN019 C.png,Lightning Overdrive,LIOV-EN019,Common,Starry Knight Ciel,Monster,LIGHT,Fairy / Effect,4,1700,800
178,EXFO-EN002 C.png,Extreme Force,EXFO-EN002,Common,Lockout Gardna,Monster,EARTH,Cyberse / Effect,3,1000,1000
179,TDGS-EN007 C.png,The Duelist Genesis,TDGS-EN007,Common,Medium Piece Golem,Monster,EARTH,Rock / Effect,4,1600,0
180,BOSH-EN045 ScR.png,Breakers of Shadow,BOSH-EN045,Secret Rare,"Buster Blader, the Dragon Destroyer Swordsman",Monster,LIGHT,Warrior / Fusion / Effect,8,2800,2500
181,LED8-EN049 C.png,Legendary Duelists: Synchro Storm,LED8-EN049,Common,Unknown Synchron,Monster,DARK,Machine / Tuner / Effect,1,0,0
182,LOB-085 C.png,Legend of Blue Eyes White Dragon,LOB-085,Common,Fireyarou,Monster,FIRE,Pyro,4,1300,1000
