,Online boarding,Inflight entertainment,Type of Travel,Class
159,4,4,Business travel,Business
160,3,3,Business travel,Business
161,3,3,Business travel,Business
162,4,4,Business travel,Business
163,4,3,Business travel,Business
164,4,5,Business travel,Business
165,4,4,Business travel,Business
166,1,5,Business travel,Eco
167,3,1,Personal Travel,Eco
168,3,4,Personal Travel,Eco
169,5,4,Business travel,Business
170,4,1,Personal Travel,Eco
171,3,5,Personal Travel,Eco
172,4,4,Business travel,Business
173,3,3,Business travel,Eco
174,2,1,Personal Travel,Business
175,3,1,Personal Travel,Eco
176,1,2,Personal Travel,Eco
177,2,2,Personal Travel,Eco
178,1,1,Business travel,Eco
179,3,2,Personal Travel,Eco
180,5,4,Business travel,Business
181,5,3,Personal Travel,Eco
182,3,2,Business travel,Business
183,2,1,Personal Travel,Business
184,5,5,Business travel,Business
185,4,5,Business travel,Business
186,2,2,Business travel,Eco
187,5,5,Business travel,Business
188,2,2,Personal Travel,Eco
189,1,2,Business travel,Eco
190,2,4,Personal Travel,Eco
191,1,5,Business travel,Business
192,4,1,Personal Travel,Eco
193,3,3,Business travel,Business
194,4,4,Business travel,Business
195,3,1,Personal Travel,Eco
196,3,2,Business travel,Business
197,1,3,Personal Travel,Eco
198,1,4,Business travel,Business
199,1,2,Personal Travel,Eco
200,1,1,Personal Travel,Eco
201,5,4,Business travel,Eco Plus
202,2,4,Personal Travel,Eco Plus
203,2,3,Personal Travel,Eco
204,4,4,Business travel,Business
205,2,1,Personal Travel,Eco
206,3,4,Personal Travel,Eco
207,5,4,Business travel,Business
208,3,5,Personal Travel,Eco
209,4,2,Business travel,Business
210,2,3,Business travel,Business
211,1,3,Business travel,Eco
212,5,5,Business travel,Business
213,5,5,Business travel,Business
214,4,4,Business travel,Business
215,3,2,Business travel,Business
216,3,4,Business travel,Business
217,2,4,Business travel,Business
218,4,3,Personal Travel,Eco
219,3,1,Personal Travel,Eco Plus
220,4,3,Personal Travel,Eco
221,3,3,Business travel,Eco
222,5,5,Business travel,Business
223,4,4,Business travel,Business
224,3,1,Personal Travel,Eco
225,5,4,Personal Travel,Business
226,5,5,Business travel,Business
227,4,4,Business travel,Business
228,3,3,Business travel,Business
229,4,4,Business travel,Eco Plus
230,2,5,Business travel,Eco
231,2,1,Personal Travel,Eco
232,3,4,Business travel,Eco
233,4,4,Business travel,Eco
234,1,5,Business travel,Business
235,4,4,Business travel,Business
236,3,2,Business travel,Business
237,2,4,Business travel,Eco
238,3,1,Personal Travel,Eco
239,3,3,Business travel,Eco Plus
240,4,4,Business travel,Eco
241,5,5,Business travel,Business
242,5,5,Personal Travel,Eco
243,3,4,Business travel,Business
244,5,5,Business travel,Business
245,4,4,Business travel,Eco
246,4,2,Business travel,Business
247,2,5,Business travel,Business
248,5,5,Business travel,Eco
249,5,3,Business travel,Business
250,3,2,Personal Travel,Eco
251,2,3,Business travel,Business
252,3,5,Personal Travel,Eco
253,4,5,Personal Travel,Eco
254,4,5,Business travel,Business
255,3,5,Business travel,Eco
256,4,4,Business travel,Business
257,4,5,Business travel,Business
258,4,4,Business travel,Business
259,3,5,Business travel,Eco
260,2,4,Personal Travel,Eco
261,3,1,Business travel,Eco
262,2,2,Business travel,Business
263,2,3,Personal Travel,Eco Plus
264,5,4,Business travel,Business
265,4,1,Personal Travel,Eco
266,4,4,Business travel,Eco
267,2,2,Business travel,Eco Plus
268,4,2,Personal Travel,Eco
269,4,4,Business travel,Business
270,4,1,Business travel,Eco Plus
271,4,4,Business travel,Business
272,5,5,Business travel,Business
273,4,4,Business travel,Business
274,2,2,Business travel,Eco Plus
275,4,4,Personal Travel,Eco
276,4,4,Business travel,Eco
277,3,4,Business travel,Business
278,5,4,Business travel,Business
279,3,5,Personal Travel,Eco
280,5,4,Business travel,Business
281,5,1,Personal Travel,Eco
282,2,2,Business travel,Eco
283,3,2,Business travel,Business
284,4,4,Business travel,Eco
285,4,4,Business travel,Business
286,1,4,Business travel,Business
287,5,4,Business travel,Business
288,5,3,Business travel,Business
289,4,5,Business travel,Business
290,2,2,Personal Travel,Eco Plus
291,4,5,Business travel,Business
292,3,1,Business travel,Eco
293,4,4,Business travel,Business
294,4,3,Business travel,Business
295,5,5,Business travel,Business
296,2,5,Personal Travel,Eco
297,2,1,Personal Travel,Eco
298,5,5,Business travel,Business
299,2,2,Personal Travel,Eco
300,2,5,Personal Travel,Eco
301,4,4,Business travel,Business
302,2,2,Business travel,Business
303,2,4,Personal Travel,Eco
304,5,5,Business travel,Business
305,3,1,Personal Travel,Eco Plus
306,5,1,Business travel,Business
307,4,3,Personal Travel,Eco
308,1,1,Business travel,Eco
309,4,5,Business travel,Eco
310,4,2,Business travel,Business
311,2,2,Business travel,Eco
312,4,3,Personal Travel,Eco
313,4,1,Business travel,Business
314,1,5,Business travel,Eco
315,3,1,Business travel,Business
316,2,5,Business travel,Business
317,4,3,Personal Travel,Business
318,4,2,Business travel,Business
319,5,5,Business travel,Business
320,5,5,Business travel,Business
321,3,3,Business travel,Business
322,3,4,Personal Travel,Eco
323,3,5,Business travel,Business
324,1,4,Business travel,Eco Plus
325,5,5,Business travel,Business
326,4,2,Business travel,Business
327,5,5,Business travel,Eco
328,2,2,Business travel,Business
329,3,1,Personal Travel,Eco
330,4,4,Personal Travel,Eco
331,3,3,Personal Travel,Eco
332,4,4,Business travel,Business
333,5,3,Business travel,Business
334,4,4,Business travel,Eco
335,4,4,Business travel,Business
336,5,5,Business travel,Business
337,5,5,Business travel,Business
338,4,4,Business travel,Business
339,5,3,Business travel,Business
340,4,5,Business travel,Business
341,2,4,Personal Travel,Eco
342,4,4,Business travel,Business
343,4,4,Business travel,Business
344,5,5,Business travel,Eco Plus
345,4,4,Business travel,Eco
346,2,2,Business travel,Business
347,4,5,Business travel,Business
348,3,2,Business travel,Business
349,1,1,Personal Travel,Eco
350,2,5,Business travel,Business
351,4,4,Business travel,Business
352,2,1,Personal Travel,Eco
353,4,4,Business travel,Business
354,1,4,Business travel,Business
355,5,4,Business travel,Business
356,5,4,Business travel,Business
357,4,4,Business travel,Business
358,4,4,Business travel,Business
359,2,4,Personal Travel,Eco
360,1,5,Personal Travel,Eco
361,2,2,Personal Travel,Eco
362,1,4,Personal Travel,Eco
363,3,3,Business travel,Business
364,2,2,Personal Travel,Eco
365,2,3,Personal Travel,Eco
366,5,5,Business travel,Business
367,2,1,Personal Travel,Eco
368,5,5,Business travel,Business
369,3,4,Personal Travel,Eco
370,5,5,Business travel,Business
371,5,4,Business travel,Eco Plus
372,2,1,Business travel,Eco
373,2,1,Personal Travel,Eco
374,5,2,Business travel,Business
375,3,2,Business travel,Eco
376,3,5,Business travel,Business
377,3,1,Personal Travel,Eco
378,4,5,Business travel,Business
379,1,4,Business travel,Business
380,1,3,Business travel,Business
381,2,3,Business travel,Eco
382,4,4,Business travel,Business
383,2,1,Business travel,Business
384,3,5,Business travel,Business
385,3,4,Business travel,Business
386,1,1,Personal Travel,Eco Plus
387,4,4,Business travel,Business
388,3,5,Business travel,Business
389,4,3,Business travel,Business
390,2,4,Personal Travel,Eco
391,2,3,Personal Travel,Eco
392,3,2,Personal Travel,Eco Plus
393,4,4,Business travel,Eco Plus
394,5,5,Business travel,Business
395,3,2,Business travel,Business
396,4,4,Business travel,Business
397,5,5,Business travel,Business
398,3,5,Business travel,Eco
399,2,2,Business travel,Business
400,2,1,Personal Travel,Eco
401,5,2,Business travel,Business
402,4,4,Business travel,Eco
403,4,2,Personal Travel,Eco
404,3,3,Business travel,Eco
405,5,5,Business travel,Business
406,5,4,Business travel,Business
407,3,4,Personal Travel,Eco
408,3,3,Business travel,Business
409,3,2,Business travel,Eco
410,3,3,Business travel,Eco
411,2,2,Business travel,Business
412,1,4,Personal Travel,Eco
413,5,4,Business travel,Business
414,4,5,Business travel,Business
415,5,5,Business travel,Business
416,4,4,Business travel,Business
417,5,5,Business travel,Business
418,2,2,Business travel,Eco
419,5,5,Business travel,Business
420,4,4,Business travel,Business
421,4,2,Personal Travel,Eco
422,3,5,Personal Travel,Eco
423,5,5,Business travel,Business
424,3,4,Business travel,Business
425,5,5,Business travel,Business
426,2,1,Personal Travel,Eco
427,2,2,Business travel,Eco
428,4,4,Business travel,Business
429,3,3,Business travel,Business
430,5,4,Business travel,Business
431,5,4,Business travel,Business
432,2,2,Business travel,Eco
433,4,1,Personal Travel,Eco
434,3,5,Business travel,Business
435,2,2,Business travel,Business
436,5,4,Business travel,Business
437,2,2,Business travel,Business
438,1,5,Business travel,Business
439,4,3,Business travel,Business
440,5,4,Business travel,Eco
441,2,4,Business travel,Business
442,4,4,Business travel,Business
443,4,1,Personal Travel,Eco
444,5,4,Business travel,Business
445,3,2,Business travel,Eco
446,5,2,Personal Travel,Eco
447,4,2,Business travel,Business
448,5,5,Business travel,Business
449,3,1,Personal Travel,Eco
450,1,2,Personal Travel,Eco
451,3,5,Personal Travel,Eco Plus
452,2,2,Business travel,Eco Plus
453,5,5,Business travel,Business
454,2,4,Business travel,Business
455,4,4,Business travel,Business
456,2,2,Business travel,Eco Plus
457,3,1,Personal Travel,Eco
458,2,2,Personal Travel,Eco Plus
459,3,3,Personal Travel,Eco
460,4,2,Business travel,Eco Plus
461,5,5,Business travel,Business
462,4,4,Business travel,Business
463,4,5,Personal Travel,Business
464,5,4,Personal Travel,Business
465,4,2,Personal Travel,Eco
466,1,4,Personal Travel,Eco
467,4,4,Personal Travel,Eco Plus
468,3,2,Personal Travel,Eco
469,3,5,Personal Travel,Eco
470,3,1,Business travel,Eco
471,1,4,Business travel,Eco
472,4,4,Business travel,Business
473,5,4,Personal Travel,Eco
474,1,3,Personal Travel,Eco
475,1,4,Business travel,Eco
476,5,2,Business travel,Business
477,2,1,Business travel,Business
478,4,4,Business travel,Business
479,1,3,Business travel,Business
480,4,1,Business travel,Business
481,3,4,Personal Travel,Eco
482,2,2,Business travel,Eco
483,1,4,Business travel,Business
484,4,4,Business travel,Eco
485,5,4,Business travel,Business
486,4,4,Business travel,Business
487,1,3,Business travel,Eco
488,2,1,Personal Travel,Eco
489,4,4,Personal Travel,Eco
490,2,2,Business travel,Eco
491,5,3,Business travel,Business
492,3,3,Personal Travel,Eco
493,3,3,Business travel,Eco
494,5,1,Personal Travel,Eco
495,5,4,Business travel,Business
496,5,5,Business travel,Business
497,4,4,Business travel,Business
498,4,5,Business travel,Business
499,2,3,Business travel,Eco
500,5,5,Business travel,Business
501,4,4,Business travel,Business
502,5,4,Business travel,Business
503,5,5,Business travel,Business
504,5,5,Business travel,Eco
505,3,4,Personal Travel,Eco
506,4,4,Business travel,Eco Plus
507,4,5,Business travel,Business
508,1,3,Business travel,Eco
509,2,3,Personal Travel,Eco Plus
510,5,2,Business travel,Business
511,3,3,Business travel,Eco
512,3,5,Business travel,Eco
513,4,1,Business travel,Business
514,3,4,Business travel,Business
515,3,2,Business travel,Business
516,3,2,Business travel,Business
517,4,4,Personal Travel,Eco
518,3,1,Personal Travel,Eco
519,5,4,Business travel,Business
520,2,5,Personal Travel,Eco
521,2,5,Personal Travel,Eco
522,3,5,Business travel,Business
523,5,5,Business travel,Business
524,2,5,Business travel,Business
525,5,4,Business travel,Business
526,5,4,Business travel,Business
527,5,4,Business travel,Business
528,5,5,Business travel,Business
529,2,3,Business travel,Eco
530,3,3,Business travel,Eco
531,2,2,Personal Travel,Eco
532,4,1,Personal Travel,Eco
533,2,1,Personal Travel,Eco
534,4,5,Business travel,Business
535,4,5,Business travel,Business
536,3,1,Personal Travel,Eco
537,4,5,Business travel,Eco
538,2,5,Business travel,Business
539,2,5,Business travel,Eco
540,4,3,Business travel,Business
541,4,4,Business travel,Business
542,1,1,Business travel,Business
543,3,5,Personal Travel,Eco
544,2,5,Business travel,Business
545,1,3,Business travel,Eco Plus
546,4,5,Business travel,Business
547,5,5,Business travel,Business
548,1,2,Business travel,Eco
549,1,2,Business travel,Business
550,5,5,Business travel,Business
551,5,5,Business travel,Eco
552,4,3,Personal Travel,Eco
553,3,3,Personal Travel,Eco
554,2,3,Personal Travel,Eco
555,4,3,Business travel,Eco
556,3,3,Personal Travel,Eco
557,4,4,Business travel,Eco Plus
558,3,2,Personal Travel,Eco
559,4,2,Personal Travel,Eco Plus
560,1,3,Business travel,Eco
561,4,4,Business travel,Business
562,2,3,Business travel,Eco
563,4,4,Business travel,Business
564,4,3,Personal Travel,Eco
565,5,5,Business travel,Business
566,5,3,Business travel,Business
567,4,3,Business travel,Business
568,4,4,Business travel,Eco
569,5,5,Business travel,Business
570,3,2,Business travel,Business
571,2,1,Business travel,Business
572,5,4,Business travel,Business
573,4,4,Business travel,Eco Plus
574,3,1,Business travel,Eco
575,3,2,Business travel,Business
576,5,4,Business travel,Business
577,4,1,Business travel,Eco
578,4,4,Business travel,Business
579,1,4,Business travel,Business
580,5,4,Business travel,Business
581,4,4,Business travel,Business
582,5,5,Business travel,Business
583,5,4,Business travel,Business
584,4,4,Personal Travel,Eco
585,3,4,Business travel,Business
586,4,4,Business travel,Business
587,4,3,Business travel,Business
588,4,5,Personal Travel,Eco Plus
589,2,2,Business travel,Eco
590,1,1,Business travel,Eco
591,4,4,Business travel,Business
592,5,5,Business travel,Business
593,5,1,Personal Travel,Eco
594,3,3,Business travel,Eco
595,4,3,Personal Travel,Eco
596,1,4,Personal Travel,Eco
597,3,3,Personal Travel,Eco
598,3,2,Personal Travel,Eco
599,5,5,Business travel,Business
600,5,2,Business travel,Eco
601,5,3,Business travel,Business
602,5,4,Business travel,Business
603,2,5,Personal Travel,Eco
604,4,4,Business travel,Business
605,4,2,Business travel,Business
606,2,4,Personal Travel,Eco
607,4,3,Business travel,Eco
608,4,5,Business travel,Eco Plus
609,2,4,Personal Travel,Eco
610,2,1,Business travel,Eco Plus
611,2,4,Personal Travel,Eco Plus
612,5,2,Business travel,Business
613,4,5,Personal Travel,Business
614,4,4,Business travel,Business
615,4,2,Personal Travel,Eco
616,5,2,Business travel,Business
617,3,2,Business travel,Business
618,4,4,Business travel,Eco
619,3,2,Business travel,Business
620,4,4,Business travel,Business
621,2,2,Business travel,Eco
622,1,4,Business travel,Business
623,4,5,Business travel,Business
624,4,5,Personal Travel,Eco
625,3,4,Business travel,Business
626,3,4,Business travel,Business
627,3,5,Personal Travel,Eco
628,4,5,Business travel,Business
629,2,5,Business travel,Eco
630,4,5,Business travel,Business
631,5,5,Business travel,Business
632,2,2,Business travel,Eco
633,1,1,Business travel,Business
634,4,2,Business travel,Business
635,3,5,Personal Travel,Eco
636,5,1,Business travel,Business
637,3,1,Business travel,Eco
638,4,4,Business travel,Eco
639,2,4,Personal Travel,Eco
640,4,5,Business travel,Business
641,3,2,Personal Travel,Eco
642,3,4,Personal Travel,Eco Plus
643,4,5,Business travel,Eco
644,5,5,Business travel,Business
645,1,1,Business travel,Eco
646,1,2,Personal Travel,Eco Plus
647,4,4,Business travel,Business
648,3,3,Business travel,Eco
649,1,4,Business travel,Business
650,1,4,Business travel,Business
651,2,3,Personal Travel,Eco
652,2,2,Business travel,Eco Plus
653,5,4,Business travel,Business
654,3,3,Personal Travel,Eco
655,5,5,Business travel,Business
656,5,4,Personal Travel,Eco
657,4,5,Business travel,Business
658,2,3,Business travel,Business
659,4,2,Personal Travel,Eco
660,1,1,Business travel,Business
661,2,2,Personal Travel,Eco
662,5,4,Business travel,Business
663,3,1,Business travel,Eco
664,4,5,Personal Travel,Eco Plus
665,4,2,Business travel,Eco
666,4,4,Business travel,Business
667,1,2,Business travel,Eco Plus
668,4,4,Business travel,Eco
669,4,2,Personal Travel,Eco
670,1,4,Business travel,Eco
671,1,1,Business travel,Eco
672,4,2,Personal Travel,Eco
673,2,3,Business travel,Eco Plus
674,4,5,Business travel,Business
675,3,4,Personal Travel,Business
676,3,3,Business travel,Eco Plus
677,5,5,Business travel,Business
678,3,3,Personal Travel,Eco
679,4,5,Personal Travel,Eco
680,2,2,Personal Travel,Eco
681,3,4,Personal Travel,Eco
682,2,2,Business travel,Business
683,3,3,Business travel,Business
684,3,3,Business travel,Eco
685,3,1,Business travel,Business
686,4,5,Business travel,Business
687,3,1,Business travel,Eco
688,1,1,Personal Travel,Eco
689,3,1,Personal Travel,Eco
690,5,4,Business travel,Business
691,4,5,Business travel,Business
692,5,5,Business travel,Business
693,2,2,Business travel,Eco
694,3,3,Business travel,Eco
695,4,5,Business travel,Business
696,3,4,Business travel,Business
697,5,4,Business travel,Business
698,4,4,Business travel,Eco Plus
699,4,4,Personal Travel,Eco Plus
700,4,2,Business travel,Business
701,5,5,Business travel,Business
702,4,5,Business travel,Eco
703,4,4,Personal Travel,Eco
704,3,3,Business travel,Business
705,1,5,Personal Travel,Eco Plus
706,4,4,Business travel,Eco
707,5,4,Business travel,Business
708,2,1,Personal Travel,Eco
709,3,2,Business travel,Business
710,3,4,Business travel,Eco
711,2,2,Business travel,Eco Plus
712,2,3,Personal Travel,Eco
713,4,4,Business travel,Eco
714,3,3,Business travel,Eco
715,4,5,Business travel,Business
716,4,5,Business travel,Business
717,4,5,Business travel,Business
718,4,3,Business travel,Business
719,2,1,Business travel,Business
720,2,1,Business travel,Eco
721,5,5,Business travel,Business
722,4,5,Business travel,Business
723,3,5,Personal Travel,Eco
724,3,2,Business travel,Business
725,3,2,Business travel,Business
726,4,2,Personal Travel,Eco
727,1,4,Business travel,Business
728,1,5,Business travel,Eco
729,2,2,Personal Travel,Eco
730,4,5,Business travel,Business
731,2,2,Business travel,Eco
732,2,4,Business travel,Eco
733,3,4,Personal Travel,Eco
734,4,3,Business travel,Business
735,5,5,Business travel,Eco
736,5,5,Business travel,Eco
737,2,1,Personal Travel,Eco
738,3,2,Business travel,Eco
739,5,5,Business travel,Business
740,1,1,Personal Travel,Eco
741,4,4,Business travel,Business
742,4,5,Business travel,Business
743,1,3,Business travel,Business
744,4,4,Business travel,Eco Plus
745,3,2,Personal Travel,Eco
746,5,4,Business travel,Business
747,5,5,Business travel,Eco
748,5,5,Business travel,Eco
749,2,2,Personal Travel,Business
750,4,5,Business travel,Eco
751,5,4,Business travel,Business
752,5,4,Personal Travel,Eco
753,4,5,Business travel,Business
754,5,5,Business travel,Business
755,4,4,Business travel,Business
756,3,2,Personal Travel,Eco
757,2,3,Business travel,Business
758,4,3,Business travel,Eco
759,5,4,Business travel,Business
760,2,2,Business travel,Eco Plus
761,4,3,Business travel,Business
762,2,1,Personal Travel,Eco
763,2,3,Personal Travel,Eco
764,3,4,Business travel,Eco
765,5,5,Business travel,Eco Plus
766,4,5,Business travel,Business
767,1,3,Personal Travel,Eco
768,2,4,Business travel,Business
769,1,5,Business travel,Business
770,3,5,Business travel,Business
771,2,1,Personal Travel,Eco
772,1,3,Business travel,Business
773,4,3,Business travel,Business
774,2,5,Personal Travel,Eco Plus
775,1,5,Business travel,Business
776,5,5,Business travel,Business
777,2,3,Personal Travel,Eco
778,3,5,Personal Travel,Eco
779,2,1,Personal Travel,Eco
780,2,4,Business travel,Business
781,2,1,Personal Travel,Eco
782,4,3,Business travel,Business
783,2,4,Personal Travel,Eco
784,3,2,Personal Travel,Eco
785,2,2,Personal Travel,Eco
786,3,4,Business travel,Eco
787,5,5,Business travel,Business
788,5,5,Business travel,Eco
789,3,1,Personal Travel,Eco
790,5,5,Business travel,Business
791,4,5,Business travel,Business
792,5,5,Business travel,Eco
793,3,3,Business travel,Business
794,3,4,Personal Travel,Eco
795,2,3,Personal Travel,Eco
796,1,4,Personal Travel,Eco
797,1,4,Personal Travel,Eco
798,4,3,Personal Travel,Eco
799,3,4,Business travel,Eco
800,5,4,Business travel,Business
801,1,1,Business travel,Eco Plus
802,2,2,Personal Travel,Eco
803,2,3,Business travel,Business
804,4,5,Business travel,Business
805,2,2,Personal Travel,Eco
806,5,2,Business travel,Business
807,4,4,Business travel,Business
808,4,4,Business travel,Business
809,5,5,Business travel,Business
810,1,1,Business travel,Eco
811,3,1,Personal Travel,Eco
812,3,3,Personal Travel,Eco
813,3,3,Business travel,Business
814,3,1,Personal Travel,Eco
815,3,2,Personal Travel,Eco
816,2,3,Personal Travel,Eco
817,4,3,Personal Travel,Eco
818,5,4,Business travel,Business
819,5,5,Business travel,Business
820,4,4,Personal Travel,Eco
821,2,2,Business travel,Eco
822,4,4,Business travel,Eco
823,5,4,Business travel,Business
824,3,3,Business travel,Eco
825,3,3,Business travel,Business
826,1,4,Business travel,Business
827,4,3,Personal Travel,Eco
828,1,4,Personal Travel,Eco
829,4,4,Business travel,Business
830,1,4,Business travel,Business
831,3,4,Business travel,Eco Plus
832,4,4,Personal Travel,Eco Plus
833,4,1,Business travel,Business
834,3,3,Personal Travel,Eco
835,1,4,Business travel,Eco
836,5,5,Business travel,Eco
837,3,3,Personal Travel,Eco
838,4,4,Business travel,Business
839,2,5,Business travel,Business
840,4,4,Business travel,Business
841,5,5,Business travel,Eco
842,5,5,Business travel,Business
843,1,3,Personal Travel,Eco
844,2,5,Business travel,Eco
845,2,3,Business travel,Business
846,4,3,Personal Travel,Eco
847,1,1,Business travel,Eco Plus
848,4,5,Personal Travel,Eco
849,4,2,Business travel,Eco
850,1,3,Personal Travel,Eco
851,3,4,Personal Travel,Eco
852,4,4,Business travel,Eco
853,5,4,Business travel,Business
854,3,2,Personal Travel,Eco
855,4,4,Business travel,Business
856,5,2,Business travel,Business
857,3,2,Business travel,Business
858,2,1,Personal Travel,Eco
859,4,4,Business travel,Business
860,3,5,Business travel,Eco
861,3,2,Business travel,Eco
862,5,4,Personal Travel,Eco
863,2,3,Personal Travel,Eco
864,2,1,Personal Travel,Eco
865,3,1,Business travel,Eco
866,4,4,Business travel,Business
867,4,3,Business travel,Business
868,2,2,Business travel,Eco Plus
869,3,3,Personal Travel,Eco
870,2,4,Personal Travel,Eco
871,2,4,Personal Travel,Eco
872,3,1,Personal Travel,Eco
873,1,5,Personal Travel,Eco
874,3,2,Business travel,Eco
875,2,2,Business travel,Eco
876,2,1,Personal Travel,Eco
877,5,3,Personal Travel,Eco
878,4,4,Business travel,Business
879,4,5,Business travel,Business
880,3,4,Personal Travel,Eco
881,4,5,Business travel,Eco
882,3,3,Business travel,Business
883,4,5,Business travel,Business
884,1,2,Personal Travel,Eco
885,3,3,Business travel,Eco
886,1,4,Business travel,Business
887,5,5,Personal Travel,Eco
888,2,5,Personal Travel,Eco
889,3,5,Business travel,Eco Plus
890,3,1,Personal Travel,Eco
891,3,3,Personal Travel,Eco Plus
892,4,4,Business travel,Eco
893,2,2,Business travel,Eco
894,4,1,Business travel,Business
895,5,5,Business travel,Business
896,1,3,Personal Travel,Eco
897,5,5,Business travel,Business
898,1,3,Personal Travel,Eco Plus
899,1,3,Business travel,Business
900,3,5,Business travel,Business
901,4,5,Business travel,Business
902,3,1,Personal Travel,Business
903,5,5,Business travel,Eco
904,2,2,Personal Travel,Business
905,4,4,Business travel,Business
906,5,5,Business travel,Business
907,1,1,Personal Travel,Business
